"States/UTs","Receiving food-As % of children recorded in delivery register","Receiving food-Average number of days per month","Effective coverage as % of children recorded in delivery register","Not Receiving food due to constraints on-Supply side As % of children recorded in delivery register","Not Receiving food due to constraints on-Demand side As % of children recorded in delivery register","Awareness of food entitlement (%)"
"Andhra Pradesh","73.7","16","47.2","26.3","0","86.39"
"Assam","73.59999999999999","2","5.9","24.3","2.12","40.11"
"Bihar","52.6","14","29.4","43.9","3.58","16.44"
"Chhattisgarh","85.59999999999999","19","65.09999999999999","13.1","1.33","17.97"
"Gujarat","86.5","19","65.7","11.9","1.64","66.48"
"Haryana","51.9","21","43.6","0","48.07","14.56"
"Himachal Pradesh","77.09999999999999","17","52.4","11.7","11.2","31.93"
"Jammu and Kashmir","91.5","18","65.90000000000001","7","1.44","10.91"
"Jharkhand","88.3","18","63.6","9.699999999999999","1.99","20.07"
"Karnataka","80.40000000000001","21","67.5","15.7","3.88","89.97"
"Kerala","75.8","20","60.7","14","10.46","95.89"
"Madhya Pradesh","68.2","14","38.2","27.3","4.45","14.51"
"Maharashtra","69.59999999999999","21","58.4","19","11.44","67.68000000000001"
"Orissa","69.90000000000001","21","58.8","30.1","0","17.46"
"Punjab","59.1","17","40.2","26.8","14.01","18.27"
"Rajasthan","55.6","15","33.4","29.6","14.84","25.92"
"Tamil Nadu","76","21","63.7","15","9.25","87.67"
"Uttar Pradesh","40.6","14","22.7","40.6","18.8","11.58"
"Uttrakhand","81.90000000000001","8","26.2","12.9","5.25","19.35"
"West Bengal","78.3","21","65.8","18.1","3.65","14.48"
"Delhi","56.5","22","49.7","0","43.55","14.06"
"Chandigarh","68","22","59.9","NA","NA","NA"
"Arunachal Pradesh","94.40000000000001","8","30.2","5.6","0","0.41"
"Manipur","44.9","12","21.6","55.1","0","12.59"
"Meghalaya","79.8","18","57.5","13.1","7.12","63.6"
"Mizoram","91.8","19","69.8","0","8.210000000000001","89.90000000000001"
"Nagaland","82.40000000000001","6","19.8","NA","NA","93.56999999999999"
"Tripura","77.59999999999999","17","52.8","12.7","9.65","17"
"Sikkim","93.8","14","52.5","NA","NA","9.27"
"Dadra & Nagar Haveli","60","24","57.6","NA","NA","92.38"
"Daman & Diu","54.7","23","50.3","NA","NA","81.17"
"Goa","73.40000000000001","20","58.7","NA","NA","100"
"Puducherry","56.7","22","49.9","NA","NA","100"
"Andaman & Nicobar Island","NA","24","NA","NA","NA","6.92"
