OBJECTID,NAME,ADDRESS,GRADES,DIRECTOR,PHONE,AUTHORIZER,AUTHORIZAT,ENROLLMENT,GIS_ID,WEB_URL,ADDRID,X,Y,MYSCHOOL,SCHOOL_YEA,LEA_NAME,LEA_ID,SCHOOL_NAM,SCHOOL_ID,SCHOOLCODE,GRADES_1,LATITUDE,LONGITUDE,FACILITY_ID,CLUSTER_,WARD,ZIPCODE
1,Breakthrough Montessori PCS - Takoma,6856 EASTERN AVENUE NW,PK3-1st,Edwin Strickland,202-407-7022,,0,0,chrt_124,https://www.breakthroughmontessori.org/,245172,398808.97,145137.51,Y,2018-2019,Breakthrough Montessori PCS [Eastern Ave],189,Breakthrough Montessori PCS [Eastern Ave],289,289,PK3-1st,38.9741577,-77.01374471,PCSB_136BLD,Cluster 17,Ward 4,20012
2,Breakthrough Montessori PCS - Petworth,1244 TAYLOR STREET NW,PK3-1st,Edwin Strickland,202-407-7022,,0,0,chrt_135,https://www.breakthroughmontessori.org/,283962,397541.67,141419.28,Y,2018-2019,Breakthrough Montessori PCS [Main],189,Breakthrough Montessori PCS [Main],289,289,PK3-1st,38.94065995,-77.02835627,PCSB_103BLD,Cluster 18,Ward 4,20011
3,Bridges PCS,100 GALLATIN STREET NE,PK3-5th,Olivia Smith,202-545-0515,,0,0,chrt_107,http://bridgespcs.org/,294470,399351.72,142773.48,Y,2018-2019,Bridges PCS,107,Bridges PCS,142,142,PK3-5th,38.95286249,-77.00747904,DGS_0191.0,Cluster 19,Ward 5,20011
4,Briya PCS [Bancroft/Mount Pleasant],1755 NEWTON STREET NW,"PK3-PK4; Adult",,202-797-7337,,0,0,chrt_41,https://www.briya.org/,294528,396483.93,140715.67,N,2018-2019,Briya PCS [Bancroft/Mount Pleasant],119,Briya PCS [Bancroft/Mount Pleasant],126,126,"PK3-PK4; Adult",38.93431836,-77.04055344,DGS_0343.0,Cluster 2,Ward 1,20010
5,Briya PCS [Gallatin Street/Fort Totten],100 GALLATIN STREET NE,"PK3-PK4; Adult",,202-232-7777,,0,0,chrt_154,https://www.briya.org/,294470,399351.72,142773.48,N,2018-2019,Briya PCS [Gallatin Street/Fort Totten],119,Briya PCS [Gallatin Street/Fort Totten],126,126,"PK3-PK4; Adult",38.95286249,-77.00747904,DGS_0191.0,Cluster 19,Ward 5,20011
6,Briya PCS [Georgia Avenue/Petworth],3912 GEORGIA AVENUE NW,"PK3-PK4; Adult",,202-545-2020,,0,0,chrt_42,https://www.briya.org/,224825,397823.06,141262.62,N,2018-2019,Briya PCS [Georgia Avenue/Petworth],119,Briya PCS [Georgia Avenue/Petworth],126,126,"PK3-PK4; Adult",38.93924978,-77.02511,PCSB_43BLD,Cluster 18,Ward 4,20011
7,Briya PCS [Ontario Road/Adams Morgan],2333 ONTARIO ROAD NW,"PK3-PK4; Adult",,202-420-7200,,0,0,chrt_40,https://www.briya.org/,284370,396548.08,139234.16,N,2018-2019,Briya PCS [Ontario Road/Adams Morgan],119,Briya PCS [Ontario Road/Adams Morgan],126,126,"PK3-PK4; Adult",38.92097271,-77.0398061,PCSB_41BLD,Cluster 1,Ward 1,20009
8,Capital City PCS - High School,100 PEABODY STREET NW,9th-12th,Karen Dresden,202-808-9800,,0,0,chrt_109,https://www.ccpcs.org/,277545,398884.8,143806.18,Y,2018-2019,Capital City PCS - High School,108,Capital City PCS - High School,1207,1207,9th-12th,38.96216486,-77.01286745,DGS_0773.0,Cluster 17,Ward 4,20011
9,Capital City PCS - Lower School,100 PEABODY STREET NW,PK3-4th,Karen Dresden,202-808-9800,,0,0,chrt_108,https://www.ccpcs.org/,277545,398884.8,143806.18,Y,2018-2019,Capital City PCS - Lower School,108,Capital City PCS - Lower School,184,184,PK3-4th,38.96216486,-77.01286745,DGS_0773.0,Cluster 17,Ward 4,20011
10,Capital City PCS - Middle School,100 PEABODY STREET NW,5th-8th,Karen Dresden,202-808-9800,,0,0,chrt_110,https://www.ccpcs.org/,277545,398884.8,143806.18,Y,2018-2019,Capital City PCS - Middle School,108,Capital City PCS - Middle School,182,182,5th-8th,38.96216486,-77.01286745,DGS_0773.0,Cluster 17,Ward 4,20011
11,Carlos Rosario International PCS [Harvard Street],1100 HARVARD STREET NW,Adult,Ryan Monroe,202-797-4700,,0,0,chrt_34,https://www.carlosrosario.org/on-campus/harvard-street-campus/,300733,397610.44,139843.33,N,2018-2019,Carlos Rosario International PCS [Harvard Street],162,Carlos Rosario International PCS [Harvard Street],1119,1119,Adult,38.92646384,-77.02755753,PCSB_14BLD,Cluster 2,Ward 1,20009
12,Carlos Rosario International PCS [Sonia Gutierrez],514 V STREET NE,Adult,Jorge Delgado,202-734-4900,,0,0,chrt_37,https://www.carlosrosario.org/on-campus/sonia-gutierrez-campus/,156315,400103,138937.35,N,2018-2019,Carlos Rosario International PCS [Sonia Gutierrez],162,Carlos Rosario International PCS [Sonia Gutierrez],1119,1119,Adult,38.91830572,-76.99881229,PCSB_106BLD,Cluster 21,Ward 5,20002
13,Cedar Tree Academy PCS,701 HOWARD ROAD SE,PK3-KG,Dr. Latonya Henderson,202-610-4193,,0,0,chrt_111,http://www.cedartree-dc.org/,300872,400069.95,132932.97,Y,2018-2019,Cedar Tree Academy PCS,123,Cedar Tree Academy PCS,188,188,PK3-KG,38.86421603,-76.99919401,PCSB_57BLD,Cluster 37,Ward 8,20020
14,Center City PCS - Brightwood,6008 GEORGIA AVENUE NW,PK3-8th,Russ Williams,202-723-3322,,0,0,chrt_112,https://centercitypcs.org/campuses/brightwood-campus/,253198,397544.85,143920.5,Y,2018-2019,Center City PCS - Brightwood,156,Center City PCS - Brightwood,1103,1103,PK3-8th,38.96319196,-77.02832854,PCSB_15BLD,Cluster 17,Ward 4,20011
15,Center City PCS - Capitol Hill,1503 EAST CAPITOL STREET SE,PK3-8th,Russ Williams,202-547-7556,,0,0,chrt_113,https://centercitypcs.org/campuses/capitol-hill/,295125,401448.44,135742.68,Y,2018-2019,Center City PCS - Capitol Hill,156,Center City PCS - Capitol Hill,1104,1104,PK3-8th,38.88952582,-76.98330456,PCSB_16BLD,Cluster 26,Ward 6,20003
16,Center City PCS - Congress Heights,220 HIGHVIEW PLACE SE,PK3-8th,Russ Williams,202-562-7070,,0,0,chrt_114,https://centercitypcs.org/campuses/congress-heights/,303702,399614.14,130420.96,Y,2018-2019,Center City PCS - Congress Heights,156,Center City PCS - Congress Heights,1105,1105,PK3-8th,38.84158668,-77.00444463,PCSB_17BLD,Cluster 39,Ward 8,20032
17,Center City PCS - Petworth,510 WEBSTER STREET NW,PK3-8th,Russ Williams,202-726-9212,,0,0,chrt_115,https://centercitypcs.org/campuses/petworth/,303332,398187.59,141775.54,Y,2018-2019,Center City PCS - Petworth,156,Center City PCS - Petworth,1106,1106,PK3-8th,38.94387114,-77.02090667,PCSB_18BLD,Cluster 18,Ward 4,20011
18,Center City PCS - Shaw,711 N STREET NW,PK4-8th,Russ Williams,202-234-1093,,0,0,chrt_116,https://centercitypcs.org/campuses/shaw/,290191,398034.11,137731.91,Y,2018-2019,Center City PCS - Shaw,156,Center City PCS - Shaw,1107,1107,PK4-8th,38.90744452,-77.02266552,PCSB_19BLD,Cluster 7,Ward 6,20001
19,Center City PCS - Trinidad,1217 WEST VIRGINIA AVENUE NE,PK3-8th,Russ Williams,202-397-1614,,0,0,chrt_117,https://centercitypcs.org/campuses/trinidad/,285938,400763.1,137493.55,Y,2018-2019,Center City PCS - Trinidad,156,Center City PCS - Trinidad,1108,1108,PK3-8th,38.90529915,-76.99120218,PCSB_20BLD,Cluster 23,Ward 5,20002
