X,Y,OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,SSL,GIS_ID,WEB_URL,MAR_ID,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,XCOORD,YCOORD,ZIPCODE,LONGITUDE,LATITUDE,SCHOOL_YEA,LEA_NAME,LEA_ID,SCHOOL_NAM,SCHOOL_ID,GRADES,PK3,PK4,UN_CE,TOTAL_STUD,FACILITY_ID
-77.057205669827766,38.92360328286631,1,Oyster-Adams Bilingual School (Oyster),2801 CALVERT STREET NW,Elementary School,ES,Active,202-671-6130, ,dcps_292,http://oysteradamsbilingual.org/,275944,292,292,N,,,,,395039.6,139526.15,20008,-77.05720337,38.92359583,2018-2019,District of Columbia Public Schools,1,Oyster-Adams Bilingual School,292,PK4-3rd,6,34,,674,DGS_0446.0
-77.052323291221072,38.907476955478089,2,School Without Walls @ Francis-Stevens,2425 N STREET NW,Education Campus,EC,Active,202-724-4841, ,dcps_409,http://www.swwfs.org/,294544,409,409,N,520,1927,95100,450,395461.95,137735.74,20037,-77.052321,38.9074695,2018-2019,District of Columbia Public Schools,1,School Without Walls @ Francis-Stevens,409,PK3-8th,38,45,,471,DGS_0420.0
-76.999860264103489,38.892903777305996,3,Peabody Elementary School,425 C STREET NE,Elementary School,ES,Active,202-698-3277, ,dcps_301,http://profiles.dcps.dc.gov/Peabody+Elementary+School+(Capitol+Hill+Cluster),288145,301,301,N,,,,,400012.32,136116.7,20002,-76.99985799,38.89289632,2018-2019,District of Columbia Public Schools,1,Peabody Elementary School (Capitol Hill Cluster),301,PK3-KG,61,80,,231,DGS_0595.0
-77.004124719044995,38.915227575952983,4,McKinley Technology High School,151 T STREET NE,High School/Specialized,HS,Active,202-281-3950, ,dcps_458,http://mckinleytech.org/,296345,458,458,N,,,,,399642.48,138594.83,20002,-77.00412244,38.91522012,2018-2019,District of Columbia Public Schools,1,McKinley Middle School,458,6th-8th,,,,213,DGS_0283.0
-76.983079524742905,38.870091507624821,5,Anacostia High School,1601 16TH STREET SE,High School,HS,Active,202-698-2155, ,dcps_450,http://profiles.dcps.dc.gov/anacostia,155922,450,450,N,1040,1935,247900,1100,401468.56,133584.5,20020,-76.98307725,38.87008406,2018-2019,District of Columbia Public Schools,1,Anacostia High School,450,9th-12th,,,3,449,DGS_0324.0
-76.93245732412214,38.893322824121874,6,Kelly Miller Middle School,301 49TH STREET NE,Middle School,MS,Active,202-388-6870, ,dcps_421,http://kellymillerms.org/,294476,421,421,Y,,,,,405859.65,136165.39,20019,-76.93245515,38.89331541,2018-2019,District of Columbia Public Schools,1,Kelly Miller Middle School,421,6th-8th,,,,449,DGS_0462.0
-77.021187952964567,38.934421555700396,7,Bruce-Monroe Elementary School @ Park View,3560 WARDER STREET NW,Elementary School,ES,Active,202-576-6222, ,dcps_296,http://www.bmpv.org/,294583,296,296,N,,1916,82200,,398163.16,140725.73,20010,-77.02118567,38.9344141,2018-2019,District of Columbia Public Schools,1,Bruce-Monroe Elementary School @ Park View,296,PK3-5th,42,57,,473,DGS_0533.0
-76.984974811355343,38.885178929005939,8,Payne Elementary School,1445 C STREET SE,Elementary School,ES,Active,202-698-3262, ,dcps_295,http://paynedc.org/,289721,295,295,N,438,1953,,,401302.84,135259.2,20003,-76.984984,38.885171,2018-2019,District of Columbia Public Schools,1,Payne Elementary School,295,PK3-5th,28,36,,300,DGS_0466.0
-77.029445586558523,38.929206028481772,9,Tubman Elementary School,3101 13TH STREET NW,Elementary School,ES,Active,202-673-7285, ,dcps_328,http://profiles.dcps.dc.gov/tubman,294555,328,328,N,607,1970,66600,450,397447.02,140146.96,20010,-77.0294433,38.92919857,2018-2019,District of Columbia Public Schools,1,Tubman Elementary School,328,PK3-5th,39,34,,542,DGS_0471.0
-77.035860600194624,38.929552227178853,10,Columbia Heights Education Campus 6–8 (CHEC),3101 16TH STREET NW,Education Campus,MS,Active,202-939-7700, ,dcps_475,http://www.checdc.org,234375,442,475,N,,,,,396890.8,140185.59,20010,-77.03585831,38.92954477,2018-2019,District of Columbia Public Schools,1,Columbia Heights Education Campus,442,6th-12th,,,4,1336,DGS_0472.0
