ST,AL,,AK,,AZ,,AR,,CA,,CO,,CT,,DE,,FL,,GA,,HI,,ID,,IL,,IN,,IA,,KS,,KY,,LA,,ME,,MD,,MA,,MI,,MN,,MS,,MO,,MT,,NE,,NV,,NH,,NJ,,NM,,NY,,NC,,ND,,OH,,OK,,OR,,PA,,RI,,SC,,SD,,TN,,TX,,UT,,VT,,VA,,WA,,WV,,WI,,WY,,
T01,000000316354,R,000000118870,,000000774613,,000000928627,,000003353597,,000000000000,,000000000000,,000000000000,,000000000700,,000000086228,,000000000000,,000000000000,,000000050962,,000000000000,R,000000000000,,000000074745,,000000516170,,000000049426,,000000045713,,000000774109,,000000004549,,000002065215,R,000000765742,,000000024396,,000000029538,,000000236830,,000000001168,,000000363218,,000000393796,,000000003908,,000000059624,,000000000000,,000000000000,,000000002125,,000000000000,,000000000000,,000000025092,,000000055363,,000000002046,,000000009986,R,000000000000,,000000000000,,000000000000,,000000000000,,000000941894,,000000031181,,000001822278,,000000005834,,000000142653,,000000377209,,
T09,000002097434,,000000000000,,000004939718,,000002615290,,000033552099,R,000002039414,,000003145579,,000000000000,,000017535295,R,000004864691,,000002316434,,000001126671,,000006859971,,000005941044,,000002121842,,000002150270,,000002794057,,000002579946,,000000989645,,000003753778,,000004625682,,000009012729,R,000004426608,,000002849099,,000002919117,,000000000000,,000001442951,R,000002559489,,000000000000,,000007898165,,000001685302,,000010568466,,000005856993,,000000603740,,000007253496,,000001968309,,000000000000,,000008029797,,000000798481,,000002724641,R,000000742363,,000006130877,,000019804177,R,000001638906,,000000311140,,000003543210,,000009607285,,000001156513,,000003944260,,000000789413,,
T10,000000167285,,000000038939,,000000065418,,000000045315,,000000311242,,000000036209,,000000048197,,000000016446,,000000590423,,000000169019,,000000044074,,000000007882,,000000230394,,000000041563,,000000014488,,000000111405,,000000111074,,000000055331,,000000016864,,000000029874,,000000071887,,000000140586,R,000000075051,,000000041208,,000000032785,,000000031920,,000000027002,,000000039380,,000000012865,,000000126367,,000000039337,,000000224621,,000000294532,,000000007368,,000000093643,,000000090066,,000000016252,,000000297638,,000000011924,,000000148942,,000000014766,,000000117516,,000000812904,R,000000041260,,000000020552,,000000182381,,000000282555,,000000008410,,000000053792,,000000001644,,
T11,000000000115,,000000008920,,000000000531,,000000008787,,000000000000,,000000098567,,000000420224,,000000000000,,000000148604,,000000000000,,000000000000,,000000000000,,000000514533,,000000873166,,000000279413,,000000000454,,000000000187,,000000667151,,000000028173,,000000023446,,000000003190,,000000101815,R,000000034382,,000000155123,,000000390931,,000000052414,,000000006691,,000000864252,,000000000147,,000000296125,,000000058654,,000000000690,,000000015678,,000000008387,,000000000000,,000000013908,,000000000187,,000001231127,,000000000000,,000000036612,R,000000009032,,000000000000,,000000037497,R,000000000000,,000000000000,,000000000112,,000000000000,,000000031726,,000000000333,,000000000000,,
T12,000000259169,,000000051374,,000000437975,,000000144237,,000002180786,,000000189786,,000000203955,,000000069568,,000000667800,,000000274367,,000000108646,,000000072602,,000000344144,,000000176426,,000000088571,,000000138768,,000000125063,,000000532643,,000000105811,,000000391569,,000000310589,,000000257510,R,000000335839,,000000194020,,000000270053,,000000065048,,000000045463,,000000234253,,000000075172,,000000509305,,000000122703,,000001430125,,000000507038,,000000035894,,000000432925,,000000165579,,000000072876,,000000778175,,000000062148,,000000144629,R,000000063285,,000000555163,,000001301104,R,000000103119,,000000055825,,000000414165,,000000405923,,000000143912,,000000146886,,000000025617,,
T13,000000558476,,000000028834,,000000801849,,000000466482,,000003163694,,000000602347,,000000498177,,000000112889,,000002266814,,000000854360,,000000086370,,000000230377,,000001339228,,000000759959,,000000437763,,000000424703,,000000662694,,000000587995,,000000241687,,000000722597,,000000654649,,000000967728,R,000000832291,,000000393363,,000000721917,,000000204390,,000000298805,,000000292804,,000000147805,,000000535281,,000000227633,,000001613229,,000001551660,,000000151050,,000001727242,,000000431151,,000000403284,,000002020099,,000000123805,,000000521689,R,000000125223,,000000824795,,000003053538,R,000000351449,,000000099278,,000000882919,,000001196688,,000000390916,,000000972979,,000000066777,,
T14,000000002104,,000000000000,,000000000285,,000000004725,,000000015541,,000000000528,,000000007062,,000000000116,,000000011460,,000000000000,,000000000000,,000000000899,,000000007034,,000000004546,,000000003913,,000000000013,,000000000000,,000000005268,,000000002447,,000000001541,,000000002098,,000000006239,R,000000000637,,000000000000,,000000000000,,000000000086,,000000000149,,000000000000,,000000001591,,000000000000,,000000000564,,000000022472,,000000000000,,000000000291,,000000008370,,000000001319,,000000003014,,000000017460,,000000001476,,000000000000,,000000000239,,000000000000,,000000010245,R,000000000000,,000000000000,,000000000000,,000000002049,,000000001063,,000000000306,,000000000153,,
T15,000000812367,,000000004085,,000000022541,,000000000000,,000000745467,,000000012536,,000000279575,,000000058263,,000003079200,,000000000000,,000000157661,,000000002138,,000001794267,R,000000198988,,000000000000,,000000000385,,000000066787,,000000008828,,000000028816,,000000124075,,000000023480,,000000027698,R,000000000058,,000000001970,,000000000000,,000000050622,,000000057806,,000000023025,,000000085201,,000000938945,,000000028236,,000001083893,,000000398661,,000000034002,,000001144976,,000000031899,,000000075745,,000001292373,,000000095318,,000000037304,R,000000003514,,000000010328,,000000639831,R,000000028817,,000000012363,,000000158487,,000000448251,,000000169160,,000000350580,,000000004254,,
T16,000000137401,,000000070147,,000000338473,,000000250841,,000000922986,,000000203064,,000000385636,,000000131712,,000000389267,,000000227180,,000000105523,,000000048724,,000000581817,,000000484686,,000000232573,,000000106181,,000000299541,,000000135927,,000000149067,,000000405915,,000000579854,,000001007873,R,000000428767,,000000156558,,000000106163,,000000088034,,000000052487,,000000110345,,000000237988,,000000759742,,000000037926,,000001351332,,000000273946,,000000023875,,000000886875,,000000248472,,000000239254,,000001090892,,000000137501,,000000035257,,000000067747,,000000290438,,000001465111,R,000000058676,,000000070058,,000000175581,,000000426265,,000000114128,,000000704156,,000000026375,,
T19,000000411129,,000000060706,,000000110436,,000000168957,,000000041371,,000000322298,,000000380290,,000000073920,,000000550604,,000000126449,,000000225672,,000000020314,,000001261248,R,000000010072,,000000007008,,000000030495,,000000625343,,000000269708,,000000104404,,000000804886,,000000542423,,000000912993,R,000001749270,,000000283266,,000000087633,R,000000039499,,000000022178,R,000000151446,,000000338628,,000000243522,,000000104208,,000004809656,,000000535083,,000000084171,,000000697821,,000000024962,,000000189327,,000000707337,,000000174328,,000000321369,R,000000055108,,000000098679,,000004083631,R,000000185460,,000000276120,,000000514797,,000000480003,,000000325195,,000000513547,,000000001248,,
