item,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IN,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,17471806,336825,127821,882643,1066789,2315507,,,,2251725,,863586,,,8834,658758,563435,56658,37028,738170,5311,1963036,839487,25961,30265,268057,119,242168,404579,4547,108803,,,3505,,,20336,41860,2480,26394,,,,,1035611,32712,2018393,6679,165155,318569
T09,273808966,2463912,,6105909,3182211,38464704,2817773,4082787,,1315925,21800895,5256592,2992707,1463802,7279604,3052986,3267331,2926783,1280298,4409919,5803934,9211783,5483791,3422774,3380034,,1787880,4080507,,9146025,2256088,13104421,6862578,1389083,11900176,2682008,,9865270,959513,3568788,970784,6548032,33664187,1882901,366667,3793215,12517831,1293327,4892126,811105
T10,6125101,192490,39836,71270,53256,357373,41392,61612,20708,6244,459019,184374,50281,8937,46064,132589,131951,57416,18312,30956,80815,145399,85142,42094,36208,33860,29873,43799,12328,138548,45735,250899,359880,9485,101090,116772,17811,358887,19538,166501,16690,159768,1147565,51221,24839,257229,331405,18159,57596,1885
T11,6413628,18,9144,,47484,,110105,307841,,,198094,,,,618600,319,155,713800,51555,567795,4470,110785,49063,131270,366381,59808,6309,952593,436,206143,72059,1129,1824,3626,269998,20767,,1408047,,36780,8993,,30981,,,105,,46928,223,
T12,18619938,312030,66456,466788,190884,2444573,257795,189362,93763,106407,690160,419653,150872,84498,221100,211766,146481,438179,98353,444691,367832,322999,437806,299127,376811,97404,31036,293922,107740,648090,122280,1431361,529936,58008,544523,325954,62340,792922,95174,207610,83022,809567,1986919,119280,57950,451037,555976,155687,184166,29648
T13,40689926,560188,42003,753814,461731,5711160,667948,481825,117401,25256,2481760,1025819,93066,258993,832006,439045,850276,606410,243891,923483,756121,1010395,884596,428278,695145,226806,327665,304364,146796,535550,240177,1648106,1924089,232296,1907996,455288,524665,2731605,85801,546370,148170,857605,3462288,377390,85619,755681,1247817,433877,1014656,118639
T14,111280,1514,,185,2791,14009,615,6341,71,,7401,,,3511,2186,,2965,4356,1883,1138,1203,3904,514,,,39,150,0,914,,875,18969,,1364,5758,1155,2268,10293,1103,,397,,7114,,,,1458,2312,0,2524
T15,11953928,734531,4200,22703,,627030,,283074,56644,202057,2689490,,163481,1918,245615,371,63575,9072,33484,136006,23736,28084,12,1655,,47026,57349,24106,63528,964052,28470,873449,0,45272,1114159,49491,83299,1268072,105292,28483,3267,8153,654641,24798,18277,131270,483211,152167,395883,3475
T16,16658860,116414,65823,314239,225097,832379,202241,357944,102695,31492,1192906,215055,129659,48408,439264,96303,242232,138400,136913,391451,647101,959852,652046,148302,99436,85042,63585,116840,236380,715556,79956,1306696,276458,32518,809640,313852,266247,978006,137980,25482,61004,263566,1491765,115761,76755,177588,474183,102188,641464,24696
T19,36169376,554952,28509,150647,246886,3961131,646775,783564,107275,64493,816590,454372,502130,71213,955487,44427,745485,391210,134362,1544879,588960,1331260,2360441,400277,130196,53215,11983,222637,401980,597903,150049,5297487,779094,164164,561065,66801,542017,956707,216122,265216,80355,550030,5208722,195373,396081,928962,629353,414678,460983,2878
T20,572254,4217,1845,6764,4751,56512,6875,9040,1910,4929,8515,3972,,1701,13464,2567,6495,,6300,1385,3345,17201,2307,3282,5122,2222,1817,,4583,4199,0,61173,24877,377,41959,959,4627,17183,126,12631,801,1446,68483,1936,438,13025,133757,1333,1803,
T21,639717,,21,,497,19466,754,232,305,,14000,,,267,5787,7261,248,,643,2776,170841,,1181,33981,1799,4587,864,86564,164,53812,633,,199,549,15970,152751,2755,16568,149,7475,6709,323,19776,,29,102,6038,2932,709,
T22,5330889,156398,,10105,27177,66966,17400,27828,1206182,34942,309821,46579,1647,2301,9098,22556,100367,146329,9845,108642,25653,22820,7824,170546,29978,3594,5849,97596,54896,286599,25199,26511,631302,,236774,58478,36048,116290,4861,129851,5228,790557,129394,465,3409,57686,34595,927,19623,14153
T23,1500639,22443,28713,34229,24492,103499,75758,5116,3316,94,17303,23867,514,37603,19508,25092,27925,31098,16802,18360,5489,62501,63283,2372,32827,53632,13786,10513,10093,13566,19163,49489,32984,17809,37698,20777,53396,73926,1790,18888,28783,33333,108204,28720,7449,25656,45738,12230,67232,33580
T24,22178617,211144,29500,207819,157628,3860058,490175,219903,54663,37648,1381688,351212,178663,142970,255110,226837,202663,76004,106876,485119,441078,1018071,727385,162773,278327,157999,101808,173550,122490,637074,181434,1357402,607531,122799,745550,724318,540392,892817,19987,212246,80835,278716,2107627,176458,70033,449616,564178,2409,470542,77492
T25,2473737,26342,,30534,18177,308834,33055,49256,5681,4363,155703,102248,272,10580,223978,11314,16428,11082,9600,35987,109266,56917,45713,45902,18016,9560,10395,29919,12369,55398,3684,140400,116386,5329,80658,29862,42035,76669,4949,9493,3698,47806,137645,16283,8907,40018,116458,105298,39053,2217
T27,1050141,14670,866,17546,9032,518508,13529,676,,,25316,,20755,56699,,5248,,6989,,,,29803,734,9054,19696,7,,,21456,7762,1503,12601,19831,6,31172,4,15945,61679,4029,10526,,5966,7924,,,,18529,136,81944,
T28,13592274,58668,44663,148516,140712,4482852,42881,135825,112096,52001,216891,82893,39372,77194,33230,74704,128470,110708,108891,197289,295550,159782,484485,122097,139677,108470,36832,247871,95760,492866,40392,115113,297979,78671,933678,68132,287006,947137,49502,138232,141048,335982,687419,53264,19403,239148,312495,9896,340205,26326
T29,1288825,1,10278,3224,1840,4168,312,4811,5741,45181,9597,22802,11208,3829,83761,2614,5238,4148,9069,1908,161913,196405,59143,56425,71541,10698,1040,3320,856,1979,0,1460,24239,0,47772,527,6728,19793,4401,16903,21694,8641,160413,2895,1859,4028,165201,3757,5464,0
T40,319041500,3336587,,3760883,2664153,77929551,6360629,8182071,1140248,1868468,,9678524,1987915,1478368,5232977,2262951,4069501,2983104,1533130,8346145,14491903,8825375,10370047,1783438,5856131,1180478,2239582,,96038,13250002,1381254,43709832,11197650,536131,8882973,3641429,7309115,11488974,1215368,3695701,,302196,,3157718,709310,11903945,,1932457,7069248,
T41,44542743,533586,227852,690960,476553,9007182,669054,650014,400746,448259,2237500,1000536,72249,217082,903572,458306,751910,253650,168966,1003588,2227381,1185568,1476629,534547,425776,168039,344477,,576679,2579391,249947,5084187,1330223,186039,2586,388530,621727,2510136,176336,377329,4334,1400973,,368681,112643,817851,,188758,1032411,
T50,4761640,,,,3,369,,160712,5846,48274,410,0,12071,,4594,0,50976,4,31196,243412,340903,110,141262,4,92,,,,,793508,1,1108529,3225,,3070,135,110994,970839,42231,,,84211,,,9890,97,150295,,0,0
T51,8309121,39274,,17622,35508,,,184030,77590,480592,2467410,224,78701,,,,3263,0,26678,170410,261898,258399,207431,,11630,,9078,69202,117672,435084,,1155309,62070,,,18065,3179,484780,18903,97579,198,190034,,,33622,345747,793650,10970,57820,
T53,13131199,79235,635820,24862,104383,67500,292683,,,,37220,,,6143,2015,148077,220613,731330,,,,36883,58931,78726,1,269287,5282,121604,,,1001741,,1870,2849324,22891,556546,24149,,,,8098,2195,4005371,130212,,2258,43893,668880,9263,883913
T99,2622787,0,0,0,26535,81203,0,626,1035,80979,0,0,0,0,0,0,0,0,0,197795,158873,5,40603,0,44,3635,0,411914,0,0,0,1447230,0,0,0,0,0,21851,0,0,0,19396,0,0,4361,109909,0,0,11570,5223
