item,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IN,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,18305520,352378,111736,943008,1097908,2513157,,,,2416604,,961881,,,10699,663841,577544,62273,35425,748389,5818,2060543,849824,26725,30892,278497,123,280055,406394,4638,37084,,,3910,,,20587,43124,2544,32670,,,,,1056323,30367,2062065,6957,170537,338776
T09,292606616,2596223,,6300443,3314363,39189007,2840173,3752793,,1343192,22418257,5480196,3206154,1559332,7306331,3240354,3462704,3186614,1359190,4504242,6089860,9263616,5583910,3297760,3536396,,1783498,4266267,,9267703,2085366,13534170,7187844,1017269,12226504,2471242,,10221593,973585,3192331,968787,7006376,32131385,2083671,371365,3931717,13560382,1286833,5058789,641495
T10,6619353,210535,42430,72281,55164,368699,43407,56345,20274,6468,396418,190536,50590,9235,48310,133709,139248,63356,18741,31627,83395,156499,88352,42352,36849,31907,30520,45098,12850,138799,37084,299931,378744,9026,100712,120099,18375,373004,20399,173138,16656,174340,1191961,51563,25025,268547,347642,17936,58970,1919
T11,7588887,6,10306,,56031,,116374,305057,,,202942,,,,578829,331,229,702573,53255,650293,66844,112867,56310,133847,367814,60392,5800,930045,427,209417,73000,1231,0,3406,269267,20963,,1395968,,36662,9256,,29780,,,83,,43545,201,
T12,20447391,317657,64400,545124,192020,2561932,277647,208895,96279,106887,705400,428700,157900,87727,235024,305631,145250,518906,102528,552526,406796,329805,457876,317659,400734,98463,65465,310223,113473,605447,214688,1539422,503407,65113,579408,322604,65903,820513,113993,223416,86879,885037,2171362,133157,59055,485018,534663,158315,196543,27991
T13,43754815,526763,48773,898234,479879,5000539,667037,467749,125453,25332,2611492,1655028,92591,337335,845384,450633,750034,622234,245053,1017769,766553,1017267,901156,443578,717178,186083,342004,315897,144930,554473,245447,1612425,1936102,196837,1855699,463962,517757,2971950,90032,574513,186990,897608,3500210,419727,77404,895589,1457933,396010,1043282,115175
T14,123176,1401,,160,2616,14537,620,6038,69,,6921,,,3666,1958,,4993,4338,1562,1173,1326,3802,522,,,44,160,3,922,,1298,19778,,1566,5628,1162,1980,10350,1070,,388,,6954,,,,1840,2282,0,1963
T15,13292521,695626,4027,22337,,714623,,298858,55394,186497,2408133,,152760,1876,214976,406,64681,8618,21674,137537,24929,29026,54,1602,,43995,49288,23357,58206,964738,29552,914309,122,46455,1156646,46168,96970,1310130,103971,28164,3624,8268,605487,24351,9012,121749,489225,120406,368724,4823
T16,18013239,180301,67918,317331,230527,840034,201187,350723,111762,30451,1223029,219870,124890,50574,443210,146552,245581,121200,141464,395266,640839,946468,650042,145931,101944,86289,61258,174663,226482,677216,82826,1247078,286286,30757,1008798,316471,270199,962110,144403,28138,63082,263739,1479863,119717,80418,178847,450805,100273,649538,24060
T19,38951087,577590,22992,159895,259472,2912809,976547,702486,129962,85154,583810,434126,531017,71201,988412,47337,790400,313402,134446,1648997,603324,1472032,2382425,395065,141349,55301,24725,282224,425542,755539,160743,5621673,857389,126395,1028505,15728,542017,1218756,217985,268838,104379,468879,5253772,199633,408978,998351,793541,441090,387394,2720
T20,638031,4224,1919,7416,4624,57406,7367,9356,1584,7855,9132,3983,,1662,12871,3672,6616,,5445,1446,3450,18655,2580,1306,5359,3374,648,,18056,4199,0,61706,25140,381,42501,1224,4543,17741,72,11675,1027,1467,74711,2669,431,13297,143858,995,1823,
T21,549326,,0,,473,16767,821,230,306,,18000,,,289,5912,6379,324,,590,1415,14916,,1161,35337,2178,7576,1589,88907,288,42181,653,,184,756,37833,156410,2834,11820,197,7135,6617,254,19874,,26,129,6630,3192,545,
T22,5617231,162117,,18342,26703,75066,19541,28878,1274897,32764,315059,51050,1765,2502,9769,27173,109321,106104,10100,103860,26922,23574,8201,144283,13430,4282,16213,75726,59010,247721,25706,24047,609468,,237487,55082,34825,80943,5131,88702,5194,773374,137109,586,3444,61138,35739,986,20357,13826
T23,1595245,22931,29500,35059,26579,104698,79664,5200,3030,94,17026,26569,599,39984,19362,30568,28455,30789,16731,17883,5532,63237,64581,2731,34369,32517,14608,12817,11742,14062,25738,45235,34310,19306,37695,21082,53978,74654,1988,18284,30699,38848,110051,29813,7833,27763,43864,12096,67572,33919
T24,25553772,213550,38000,228970,163023,3996089,504010,224287,54287,36751,1552251,366897,186742,177260,294209,219463,207617,133362,108845,492753,464428,1060521,741938,158029,289124,144973,104287,196610,116127,642537,234806,1357552,714464,119473,769085,719518,539474,900127,22793,223783,89045,301635,2227996,184078,71626,477126,603519,4295,493293,76448
T25,2597106,33964,,31373,21825,296160,36751,48719,6738,5079,117146,108475,349,11187,237329,20189,16836,14277,10935,36597,99051,58711,47452,15272,17356,8573,10838,30859,5849,55873,12325,158562,134435,4226,78821,26963,37973,71765,4911,8686,5346,56063,137372,15414,9550,40558,119671,95314,40113,2303
T27,1249473,14443,838,,8351,674660,14717,675,,,25516,,20804,57166,,4981,,11678,,,,30983,934,7292,19842,12,,,16989,6961,1720,19380,20640,6,27863,3,14577,80661,2401,10236,,6108,20542,,,,22587,442,88707,
T28,14702043,56250,46957,159454,143422,5027281,39628,133427,105868,49003,177077,82123,41566,79026,43437,81617,130826,99581,110986,228582,324481,162342,499122,129892,143496,107039,35843,242794,100049,485336,41579,127046,314788,59907,943758,57692,353372,901143,58915,120849,107967,330149,517411,53264,20955,202087,323654,9928,437933,30590
T29,1415977,0,3315,1748,1891,27005,168,4682,5886,48834,10261,24849,11305,3807,81980,2606,5382,4400,8621,1827,183439,230735,60266,59368,74122,10674,1056,4670,1439,1019,0,1460,25398,0,48704,725,7133,20316,4363,18410,22829,9068,169269,4602,3463,4208,161678,1230,1313,0
T40,344944834,3492904,,3336174,2781458,80753345,6485602,7557153,1112368,1907862,,10439534,2116130,1521238,5218166,2231902,4282080,2866456,1551637,8517529,14430331,9202587,10732570,1800053,6023701,1181042,2244719,,87973,13355992,1313648,46504528,12042957,351125,8169197,3324654,7611745,11932232,1236194,3869342,,323952,,3374535,729986,12237996,,1845711,7486676,
